                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.0271,                0.72879,                 1.0643,                 0.7778,                0.69577,                0.73724,                0.44236,                 1.5082,                 1.1623,                 1.4055,             0.00053104,             0.00053104,             0.00053104
                     66,                 1.0222,                0.73567,                 1.0579,                0.78441,                0.64569,                0.69619,                0.41938,                 1.5266,                 1.2208,                 1.4193,             0.00052504,             0.00052504,             0.00052504
                     67,                 1.0291,                0.72502,                 1.0744,                0.76415,                0.71319,                 0.7422,                0.44303,                  1.511,                 1.1485,                 1.3984,             0.00051904,             0.00051904,             0.00051904
                     68,                 1.0223,                0.72447,                 1.0627,                0.85213,                 0.6426,                0.74319,                0.43799,                 1.5029,                 1.1245,                 1.3887,             0.00051304,             0.00051304,             0.00051304
                     69,                0.99658,                0.70754,                 1.0626,                 0.8009,                0.67326,                0.74367,                0.44788,                 1.4801,                 1.1427,                 1.3793,             0.00050704,             0.00050704,             0.00050704
                     70,                  1.008,                0.70302,                 1.0691,                0.80909,                0.65399,                0.73634,                0.43667,                 1.5008,                 1.1602,                 1.3688,             0.00050104,             0.00050104,             0.00050104
                     71,                 1.0279,                0.72135,                 1.0672,                0.79457,                0.66544,                0.73164,                0.42883,                 1.5082,                 1.1454,                 1.3742,             0.00049504,             0.00049504,             0.00049504
                     72,                 1.0206,                0.72221,                 1.0551,                0.75209,                0.68345,                0.73198,                0.42114,                 1.5113,                 1.1515,                 1.4013,             0.00048904,             0.00048904,             0.00048904
                     73,                0.98347,                0.69755,                 1.0457,                0.79002,                0.68179,                0.72988,                0.44012,                 1.5071,                 1.1339,                 1.3986,             0.00048304,             0.00048304,             0.00048304
                     74,                 1.0034,                0.70464,                 1.0553,                0.80665,                0.65913,                0.73521,                0.44046,                 1.5007,                 1.1043,                 1.3984,             0.00047704,             0.00047704,             0.00047704
                     75,                0.99996,                 0.6948,                 1.0528,                0.75888,                0.67719,                 0.7256,                0.44118,                 1.4883,                 1.1071,                  1.382,             0.00047104,             0.00047104,             0.00047104
                     76,                 1.0028,                0.69638,                 1.0477,                0.77664,                0.68427,                 0.7349,                0.43415,                 1.5128,                 1.1554,                  1.395,             0.00046504,             0.00046504,             0.00046504
